;;;;;;;;;;;
;B37PEN55;B37PENAV;B37PRIO001;B37PRIO002;B37PRIO003;B37PRIO004;B37PRIO005;B37PRIO013;B37PRIO013A;B37PRIO014;B37PRIO015
;B37PRIO018A;B37PRIO021A;B37PRIO022;B37PRIO022A;B37PRIO022C;B37PRIO023;B37PRIO025;B37PRIO028;B37PRIO028B;B37PRIO029;B37RAIO05
;B37RAIO05M;B37RAT02Q;B37RAT17;B37RAT60X2;B37RMBU01;B37SAER03;B37SKADE02AX;B37SKADE02BX;B37SMS01;B37TILL02NYT;B37TILL50
;B37TILL50BEC;B37TILL50D;B37TILL50DNY;B37TILL50G1010;B37TILL50G104;B37TILL50G704;B37TILL50X;B37TING01;B37TING03UA;B37TING03X;B37TLF01GL1411
;B37TLF01GL404;B37TRAN04DU;B37TRÆK50X;B37UNKAU50;B37UNSKR50;B37UNSKR50G1010;B37UNSKR50G104;B37UNSKR50GL808;B37UNSKR50X;B37UNSKR50Y;B37UNSKR50Z
;B37UPANT01A;B37UPANT01AG1101;B37UPANT01AGL;B37UPANT01G;B37UPANT01GGL;B37UPANT01GGL12;B37UPANT01GNY;B37UPANT01GTEST;B37UWEB01;B37UWEB01GL1102;B37UWEB01GL1103
;B37UWEB01GL1106;B37UWEB01GL705;B37UWEB01GL708;B37UWEB01GL911;B37UWEB02;B37UWEB05;B37UWEB05GL1009;B37VDKRÅD01DKOP;B37VDKRÅD04DKOP;B37VDKRÅD06DKOP;B37VDKRÅD07
;B37WEB01;B37WEB01406;B37WEB01409GL;B37WEB01BECX;B37WEB01G105;B37WEB01G1104;B37WEB01GL0301;B37WEB01GL0503;B37WEB01GL105;B37WEB01GL1100;B37WEB01GL1101
;B37WEB01GL1103;B37WEB01GL1106;B37WEB01GL11061;B37WEB01GL1309;B37WEB01GL1312;B37WEB01GL302;B37WEB01GL403;B37WEB01GL504;B37WEB01GL705;B37WEB01GL708;B37WEB01GL711
;B37WEB01GL903;B37WEB01GL910;B37WEB01KOP1;B37WEB01MAN;B37WEB01MANG1309;B37WEB01X;B37WEB02;B37WEB02GL;B37WEB02X16302;B37WEB02X302;B37WEB02X302A
;B37WEB03;B37WEB03G1310;B37WEB03GL;B37WEB03GL0202;B37WEB03GL0302;B37WEB03GL0503;B37WEB03GL1106;B37WEB03GL11061;B37WEB03GL403;B37WEB03GL711;B37WEB03GL910
;B37WEB03TEST;B37WEB03X;B37WEB03X030219;B37WEB05GL;B37WEB06;B37WEB06GL0305;B37WEB06GL0503;B37WEB06GL1106;B37WEB06GL11061;B37WEB06GL403;B37WEB06GL711
;B37WEB06GL910;B37WEB08;B37WEB20;B37WEB50;B37WEB50GL403;B37WEB50GL504;B37WEB50GL705;B37WEB50GL708;B37WEB50GL711;B37WEB50XX;B37WEB51
;B37WEB51GL0305;B37WEB51GL403;B37WEB51GL711;B37WEB51W;B37WEB80;B37WEB80G105;B37WEB80G1104;B37WEB80GL11061;B37WEB80GL1302;B37WEB80GL1312;B37WEB80GL910
;B37WEB80X;B37WEB81;B37WEB81GL11061;B37WEB81GL1302;B37WEB81GL910;B37WEB81TEST;B37WEB81X;B37XKAP01;B37XRAT01;B41KASSELTD;B41KORT04
;B41KORT18;B41KORT18D;B41KORT18G;B41KORT27;B41KORT54;B41KUN01;B41KUN02;B41KUN02-G1;B41KUN02-Z;B41KUN02DU;B41KUND02-Z3
;B41LÅN90;B41OPRET06;B41PEN55DU;B41RAT16;B41TLF01;B41TPOPG07;B41TPOPG08;B41TPOPG10;B41WEB50;B41WEB51;B41WEB81
;B41WEBTEST50;B41WEBTEST51;B44KORTKAM3;B44TPOPGU08;B480VE01S;B48AFT01;B48ALD04DU;B48ALLKRE01;B48ALLKRE01A;B48ALLKRE02;B48ALLKRE02A
;B48ALLKRE03;B48ALLKRE1;B48ALMFORBE;B48ALMFORBES;B48ALMFORBET;B48ALMFORBETS;B48ALMFORBNY;B48ALMFORBNYS;B48ALMFORKON;B48ALMFORVAL;B48AP31D
;B48APBEGUNST;B48APF03;B48APF03A;B48APF07;B48APFORSBE;B48APFORSBEKS;B48APSLET;B48BECAKTI01;B48BEGSAM;B48BETINVA;B48BETINVB
;B48BETINVG;B48BETINVO;B48BOKDGN;B48BS01;B48BS01-DU;B48BTJ50D;B48BYGALMB1;B48BYGALMB1-DU;B48BØRNEBK;B48DEP01;B48DEP01S
;B48DEP02C;B48DEP02CS;B48DEPBES;B48DEPBESS;B48DEPFOR;B48DEPFORS;B48DFIAFT;B48DIRPANT01;B48EBOKS01;B48EBOKS90;B48EGARHUS01
;B48ELTING01A;B48ENDOSS;B48ENGFORSP01;B48ENGFORSP02;B48ERKLOPG;B48ERKLTYS;B48FOL11;B48FOL12;B48FOL13;B48FOL14;B48FULDDEP01
;B48FULDHUS01;B48FULDKTO01;B48GAR01;B48GAR02;B48GAR03;B48GARHUS;B48GARHUS01;B48GARHUS01D;B48GARNY;B48GARNYB;B48GARNYE
;B48GAVEKON;B48INDSKGAR;B48INDSKGARDU;B48INVALMB1;B48KAP04-DU;B48KBKT01;B48KBKT02;B48KBKT03;B48KBKT04;B48KORT02;B48KORT05
;B48KORT12;B48KORT18;B48KORT18D;B48KORT18DS;B48KORT18S;B48KORT27;B48KORT28D1;B48KORT28D2;B48KORT30;B48KORT31;B48KORT32
;B48KORT33;B48KORT54;B48KORT54S;B48KREDOPL01;B48KTO01;B48KUN01;B48KUN01S;B48KUN02;B48KUN02-G1;B48KUN02A;B48KUN02DU
;B48LAANKRE01;B48MKE01;B48MORT01;B48MØDEBR01;B48MØDEBR02;B48NOTA50;B48OVE01;B48OVE01S;B48OVE51;B48OVE51S;B48OVFOVTREN
;B48PAA07AAU;B48PAA07AU;B48PAA13;B48PAA13A;B48PAA13AA;B48PAA13B;B48PANTEBREV;B48PANTEBREV01;B48PANTFRAFE01;B48PANTH01;B48PEN55DU
;B48PFASLET01;B48RAT06;B48RATEUD02;B48SAMFRA02;B48SAMFRA03;B48SAMTYK01;B48SAMTYK02;B48SMS01;B48SMS01S;B48STJ54;B48STJ54S
;B48STJALD04DU;B48STJANDEL01;B48STJANMPRI;B48STJAP31D;B48STJAPFORS;B48STJBYGALMB1;B48STJDEPB;B48STJDEPBES;B48STJDEPBS;B48STJDEPF;B48STJDEPFOR
;B48STJDEPFS;B48STJEDAN01;B48STJFULDHUS01;B48STJGAVE;B48STJKORT02;B48STJKORT04;B48STJKORT04S;B48STJKORT27;B48STJKORT28D1;B48STJKORT28D2;B48STJKORT30
;B48STJKORT31;B48STJKORT33;B48STJKORT54;B48STJKUN01;B48STJKUN02DU;B48STJOVE01;B48STJPAA13;B48STJPAA13A;B48STJRÅD02;B48STJRÅD02S;B48STJRÅD03
;B48STJRÅD03S;B48STJRÅD04;B48STJRÅD04S;B48STJRÅD07;B48STJSTJ;B48STJTLF01;B48STJWEB01;B48STJWEB02;B48STKKORT18;B48SUPPORT01;B48TEST2
;B48TESTINDSKGAR;B48TESTSONJA;B48TESTV;B48TESTVALPLN;B48TESTVALPLN2;B48TLF01;B48TRAHÅN01;B48TRAN02;B48TRAN03;B48TRANFOR;B48TRANSALGANDEL
;B48UNOTA50;B48VALPLN01;B48VALUK01;B48VALUK01A;B48VALUKKB01;B48VALUL01;B48VDKRÅD02;B48VDKRÅD02S;B48VDKRÅD03;B48VDKRÅD03S;B48VDKRÅD04
;B48VDKRÅD04S;B48VDKRÅD07;B48VLIBOR01;B48VWIBOR01;B48WEB01;B48WEB01S;B48WEB02;B48WEB03;B48WEB03S;B48WEB06;B48WEB06S
;B48WEB20;B48WEB20S;B48WEB50;B48WEB50S;B48WEB51;B48WEB80;B48WEB81;B48WEB81S;B48WEB90;B48ÅBNBLK01;B48ÅBNBLK02
;B48ÅBNBLK02DU;B48ÅBNBLK03;B48ÅBNBLK04;B48ÅBNBLK05;B48ÅBNBLK06;B51AKTBREV01;B51AKTERHVID;B51AKTMKTOID;B51AKTPINKUDL;B51AKTPRIVID;B51ALD04
;B51BECAKTI01;B51BROBIZZ1;B51CACA;B51CAFRIM;B51CAFRIU;B51CAFULDMAGT;B51CAKOBTB;B51CAKOBTBANN;B51CAKOBTBRET;B51CANAVN;B51CANOMRET
;B51CAOPTDIV;B51CAREFFM;B51CAREINV;B51CATEGN;B51DEPDB01;B51DEPDB02;B51DEPOTPL;B51DOEDB1;B51EDAN01;B51EDAN01OLD;B51ELTING01E
;B51FIB1;B51FOLRAP;B51FØLB1;B51FØLLÅNB1;B51IND101;B51IND102;B51IND103;B51IND111;B51IND112;B51IND113;B51INDKTONY
;B51INDKTOÆND;B51INVQIDK1;B51INVQIDK2;B51INVQIUDL1;B51INVQIUDL2;B51KAP02;B51KAP04;B51KAPB1;B51KAPB2;B51KAPB3;B51KAPB5
;B51KCEN01;B51KCEN02;B51KCEN11;B51KORT04;B51KORT12;B51KORT27;B51KORT54;B51KORTB1;B51KORTB2;B51KORTB4;B51KORTB4K
;B51KORTB5;B51KORTB6;B51KRE201;B51KRE202;B51KRE203;B51KRE204;B51KRE211;B51KRE212;B51KRE213;B51KRE214;B51KSER01
;B51KSER02;B51KSER06;B51KSER08;B51KSER09;B51KSER10;B51KSER11;B51KSER12;B51KSER13;B51KSER14;B51KSER16;B51KSER17
;B51KSER18;B51KSER19;B51KSER20;B51KSER22;B51KSER23;B51KSER24;B51KSER31;B51KSER32;B51KSER36;B51KTBEST01;B51KTREG01
;B51KTREGL02;B51KTREGL02ALJ;B51L&K01;B51L&K02;B51L&K05;B51L&K07;B51L&K08;B51L&K09;B51L&K10;B51L&K12;B51L&K14
;B51L&K16;B51L&K17;B51L&K21;B51L&K23;B51L&K24;B51L&K25;B51L&K26;B51L&K27;B51L&K28;B51MT940;B51NYKUNDEB1
;B51NYKUNDEB2;B51NYKUNDEB3;B51NYKUNDEB4;B51NYKUNDEB5;B51NYKUNDEB6;B51NYKUNDEB7;B51NYKUNDEB8;B51PBSB2;B51PENS01;B51PENS04;B51PENS07
;B51PENS09;B51PENS10;B51PENS11;B51PENS12;B51PENS13;B51PENS14;B51PENS15;B51PENS16;B51PENS17;B51PENS18;B51PENS19
;B51PENS20;B51PENS21;B51PENS23;B51PENS30;B51PENSRAD01;B51PENSRAD03;B51PENSRAD04;B51PENSRAD05;B51PENSRAD06;B51RAT02;B51RYKB4
;B51UDL301;B51UDL302;B51UDL303;B51UDL304;B51UDL311;B51UDL312;B51UDL313;B51UDL314;B51UPANT01G;B51VDKORTB1;B51VDKORTB2
;B51VDKRÅD02;B51VDKRÅD03;B51VPFRAVALG2;B51WEB01;B51WEB03;B51WEB03KOPI;B51WEB06;B51WEB50;B51WEB81;B51WEB81KOPI;B51WEB81OLD
;B52BECTLF01;B53DEP01;B53DEP02A;B53DEP02C;B53KAP01;B53KTPRIS02;B53LHAOPG07;B53LHAOPG08;B53LHAOPG10;B53LHAOPG11;B53LHAUOPG08
;B53MKROPG07;B53MKROPG08;B53MKROPG10;B53MKRUOPG08;B53OVE01;B53TESTDEP01;B53WEB01;B53WEB81;B61OPS001;B61OPS002;B61OPS003
;B61OPS012;B61OPS013;B61RESTB1;B61RYK001;B61RYK001S;B61RYK002;B61RYK002S;B61RYK003;B61RYK004;B61RYK005;B61RYK006
;B61RYK007;B61RYK011;B61RYK011S;B61RYK012;B61RYK012S;B61RYK013;B61RYK014;B61RYK015;B62DEP01;B62DEP02C;B62KORT04
;B62KORT18;B62KORT18D;B62KORT31;B62KORT32;B62KORT33;B62KORT54;B62KRED50-G;B62KRED50-Z;B62KTBEST01;B62KTPRIS11;B62KUN01
;B62LÅN50-G;B62LÅN50-Z;B62OVE01;B62OVE51;B62PPPOPG07;B62PPPOPG08;B62SCOPG07;B62SCOPG08;B62SMS01;B62SMS01-NY;B62UNSKR50
;B62WEB01;B62WEB01-GAMMEL;B62WEB03;B62WEB03-G;B62WEB03-GAMMEL;B62WEB06;B62WEB06-G;B62WEB06-GAMMEL;B62WEB81;B66DEP01;B66DEP02C
;B66KORT04;B66KORT54;B66WEB01;B67AFT01;B67ALD04DU;B67ALLKRE01;B67ALLKRE01A;B67ALLKRE02;B67ALLKRE02A;B67ALLKRE03;B67ALMFORBE
;B67ALMFORBET;B67ALMFORBNY;B67ALMFORBTD;B67ALMFORKON;B67ALMFORVAL;B67ANMPRI;B67APF03;B67APF07;B67BECAKTI01;B67BEGSAM;B67BETINVA
;B67BETINVB;B67BETINVG;B67BETINVO;B67BOKDGN;B67BS01-DU;B67BTJ50D;B67DEP01;B67DEP02C;B67DEPBES;B67DEPFOR;B67DFIAFT
;B67DIRPANT01;B67EBOKS01;B67EDAN01;B67ELTING01A;B67ENDOSS;B67ENGFORSP01;B67ENGFORSP02;B67ERKLOPG;B67ERKLTYS;B67FULDDEP01;B67FULDHUS01
;B67FULDKTO01;B67GARHUS;B67GARHUS01;B67GARHUS01D;B67GARNY;B67GARNYB;B67GARNYE;B67INDSKGAR;B67INDSKGAR5;B67INDSKGARDU;B67KAP04-DU
;B67KBKT01;B67KBKT02;B67KBKT03;B67KBKT04;B67KORT02;B67KORT04;B67KORT05;B67KORT18;B67KORT18D;B67KORT27;B67KORT30
;B67KORT31;B67KORT32;B67KORT33;B67KORT54;B67KREDOPL01;B67KTO01;B67KTPRIS05;B67KTPRIS06;B67KTPRIS07;B67KTPRIS08;B67KTPRIS09
;B67KTPRIS10;B67KTPRIS11;B67KTPRIS12;B67KUN01;B67KUN02;B67KUN02-G1;B67KUN02A;B67KUN02DU;B67LAANKRE01;B67MKE01;B67MORT01
;B67MØDEBR01;B67MØDEBR02;B67OVE01;B67OVE51;B67OVFOVTREN;B67PAA13;B67PAA13A;B67PAA13AA;B67PAA13B;B67PANTFRAFE01;B67PFASLET01
;B67SAMFRA02;B67SAMTYK01;B67SMS01;B67STJ04;B67STJ54;B67STJKORT18;B67STJKORT30;B67STJKORT31;B67STJKORT32;B67STJKORT33;B67STJRÅD02
;B67STJRÅD03;B67STJRÅD04;B67STJRÅD07;B67STJWEB81;B67TLF01;B67TRAHÅN01;B67VDKRÅD02;B67VDKRÅD03;B67VDKRÅD04;B67VDKRÅD07;B67WEB01
;B67WEB02;B67WEB03;B67WEB06;B67WEB20;B67WEB50;B67WEB51;B67WEB81;B67ÅBNBLK01;B67ÅBNBLK05;B73OPG3A;B78L0F071PRINT
;B78LOF001;B78LOF001B;B78LOF039;B78LOF040;B78LOF041;B78LOF041B;B78LOF042;B78LOF042B;B78LOF043;B78LOF045B;B78LOF048
;B78LOF052;B78LOF053;B78LOF053B;B78LOF054;B78LOF064;B78LOF066;B78LOF069;B78LOF070;B78LOF071;B78LOF071Z;B78LOF072
;B78LOF073;B78LOF074;B78LOF087;B79KORT27;B79KORT31;B79WEB50;B80KORT32;B80LÅN50;B80RAT02;B80WEB06;B80WEB91
;B82DEP01;B82DEP02C;B82KUN01;B82PANTH01;B82RAT02;B83KRED03;B86DJAFSFHØJB1;B86DJAFSLAGB1;B86DJANSØGB1;B86DJFORHØJB1;B86DJKREDITHØJB1
;B86DJMGLB1;B86DJPBSB1;B86DJPBSB2;B86DJRYKBB1;B86DJRYKBB2;B86DJRYKBB3;B86DJRYKBB4;B86DJRYKOB1;B86DJRYKOB2;B86DJRYKOB3;B86DJRYKOB4
;B86DJRYKUB1;B86DJRYKUB2;B86DJRYKUB3;B86DJRYKUB4;B86DJÅBNINGB1;B86DJÅBNINGB2;B86DJÅBNINGB3;B86GCAFSFHØJB1;B86GCAFSLAGB1;B86GCANSØGB1;B86GCFORHØJB1
;B86GCKREDITHØJB1;B86GCMGLB1;B86GCPBSB1;B86GCPBSB2;B86GCRYKBB1;B86GCRYKBB2;B86GCRYKBB3;B86GCRYKBB4;B86GCRYKOB1;B86GCRYKOB2;B86GCRYKOB3
;B86GCRYKOB4;B86GCRYKUB1;B86GCRYKUB2;B86GCRYKUB3;B86GCRYKUB4;B86GCÅBNINGB1;B86GCÅBNINGB2;B86GCÅBNINGB3;B86SVAFSFHØJB1;B86SVAFSLAGB1;B86SVANSØGB1
;B86SVFORHØJB1;B86SVRYKBB1;B86SVRYKBB2;B86SVÅBNINGB1;B8702;B87ALD04;B87ANDEL01;B87ART73;B87BS01D1-G;B87BS02;B87BS80-GL
;B87BS90;B87DEP01;B87DEP02C;B87DEP02CD;B87DEPOPR;B87DEPOTOPR;B87EBOKS80;B87EBOKS90;B87EDAN80;B87EDAN90;B87EKAU50
;B87EKAU51;B87EKORT01D1;B87EKORT80;B87EKORT90;B87ERH01;B87FRIBØRN;B87FØLMAN;B87GAR07;B87GAR13;B87GAR15;B87GARBØRN
;B87HVBOPG07;B87HVBOPG08;B87HVBOPG09;B87HVBOPG10;B87HVBUOPG08;B87HÅND50;B87HÅND53;B87HÆVEKORTREGL.;B87IND03;B87JPNOPG07;B87JPNOPG08
;B87KAP04;B87KAP30A;B87KAU50;B87KAU51;B87KKTILBUD;B87KORT04;B87KORT18;B87KORT31;B87KORT32;B87KORT33;B87KORT54
;B87KRED01;B87KRED02;B87KRED07;B87KRED50;B87KTBEST01;B87KUN01;B87KUN02;B87LÅN11;B87LÅN12;B87LÅN17;B87LÅN50
;B87MASTERPRIVAT;B87NCTUOPG08;B87NETID80;B87NETID90;B87NYDEPOPR;B87NYKRED03;B87NYVILA;B87NYVILB;B87NYVILD;B87NYVILE;B87NYVILF
;B87OPGDH02;B87OPGDH7;B87OVE01;B87OVE51;B87PANT03;B87PANT05;B87PANT07;B87PEN55DU;B87SEPA_NCT;B87SKADE04A;B87SKADE05A
;B87SMS01;B87TILBUD;B87TING03;B87TRÆK50;B87UDLGAR;B87UDLGAR3;B87UDLGAR4;B87UNGDOM;B87UNOT01;B87UNOT02;B87UNOT02A
;B87UNOT12;B87UNSKR50;B87UPANT01G;B87VARSLING;B87VARSLINGFLUE;B87VARSLINGGAR;B87VARSLINGNYT;B87VARSLINGTEKST;B87WEB01;B87WEB01-GL;B87WEB01LA
;B87WEB02E;B87WEB50;B87WEB82;B87WEB90;B87ÅBNING;B9018035FORS01;B9018036FORS01;B9018037FORS01;B9018044FORS02;B90ALM01;B90ALM01GL202
;B90ALM01GL306;B90ALM01X;B90ALM02GL202;B90ALM02X;B90ALM03;B90BECAKTI01;B90BS01;B90BS02;B90EALM03;B90EJERP03B;B90FAST01
;B90FAST03;B90HÅND01;B90HÅND04;B90KAU03;B90KRED01;B90KRED02;B90KRED07;B90LÅN11;B90LÅN12;B90LÅN15GL;B90LÅN17
;B90LØN11GL307;B90OVE01;B90RYK;B90RYK002;B90RYK2;B90SAER03;B90SMS01GL1201;B90TING03;B90TLF01GL;B90WEB01GL;B90WEB01GL0305
;B90WEB01GL0503;B90WEB01GL1101;B90WEB01GL404;B90WEB02GL;B90WEB03;B90WEB03GL0202;B90WEB03GL0305;B90WEB03GL0503;B90WEB03GL1101;B90WEB03GL404;B90WEB03GLX
;B90WEB06;B90WEB06GL0305;B90WEB06GL0503;B90WEB50;B90WEB51;B90WEB51GL0305;B92PENS57COPY;B930906;B93AB92SER;B93AFTAFI;B93AFTTID
;B93AFTTID1ÅRERH;B93AFTTID1ÅRPRI;B93ANMODPI;B93BECLÅN50;B93BECTILL50;B93BEKRÆFTELSE1Z;B93BETGARMFD1;B93BOLIG10ÅR;B93BOLOPG10;B93BUDGETKU;B93BYGKREF
;B93BYGLAANALL;B93EALM50ALM1;B93EALM50BTD1;B93EALM50BTD2SN;B93EDAN01D;B93EJDKONTER;B93EJDKONTPR;B93EJERP01B;B93ELTING01E;B93ENECO08;B93FAX
;B93FORLAAGAR1K;B93FORLAAGAR1Æ;B93FORLAAGAR2K;B93FORLAAGARS;B93FORLÅGASÆR;B93FORRETHANDEL;B93FORRETHANDEL1;B93FULDMAGT;B93GAR13;B93GAR13D1;B93KOMHØJV3
;B93KORT18;B93KORT18D;B93KORT18TEST;B93KORT27;B93KORT30;B93KORT31;B93KORT32;B93KORT32TEST;B93KORT54;B93KTOMOPS;B93KUN01
;B93KUN01BTD;B93KUN01PRINT;B93KUN01TEST;B93KURSKON;B93NEMPUTEST;B93NYLÅN50;B93OMLÆGNING;B93OPRKUNDEERH;B93OPRKUNDEPRV;B93OPRKUNDEPRVÆ;B93OPRKUNDEPRVÆN
;B93OPRKUNDESAM;B93PANTAFRG;B93PEORDA;B93PLJAP;B93PTB;B93RUNEJDKONT;B93RUNFORRETBET;B93RUNFORRETHAND;B93RUNVALRAM;B93RUNVALRAMBEST;B93SKA04
;B93SOL010;B93SWIPE01-Z;B93SWIPE01HCB;B93SWIPE01TEST14;B93TBINV;B93TESTNEMPU01;B93TIINVZ;B93TILL50-TEST;B93TING05TB;B93TING05TBGL;B93TRY0609
;B93UDBERS;B93UDBKRD;B93UDBTKLÅN;B93UDD01;B93UDLLÅNREKV;B93UPANT01G;B93UPANT01GTEST;B93UPANT01GTEST2;B93VDKRÅD07P;B93VDKRÅD07PRI;B93VDKRÅD07PRIV
;B93VDKRÅD07PRIVÆ;B93VISAELBE;B93WEB01GL;B93WEB01Z;B93WEB03BTD;B93WEB03GL;B93WEB05-01.12;B93WEB06;B93WEB06BTD;B93WEB201001;B93WEB201020
;B93WEB50;B93WEB50GL;B93WEB50NY;B93WEB51;B93WEB51GL;B93WEB70;B93WEB70BTD;B93WEB70BTDGL;B93WEB70GL;B93WEB80BTD;B93WEB80ÆLDREKOP
;B93WEB82BTD;B93WEB91;B93WEB91BTD;B93WEB91GL;B93WEB93;B93WEB93BTD;B93WEBBIL01;B93WEBBIL011;B95AFTALE50;B95AFTALE51;B95AFTALE52
;B95AFTALE53;B95AFTALE54;B95AFTALE56;B95ALD04;B95BECAKTI01;B95BS01;B95BS01OPR;B95BS02;B95BS02OPR;B95BS80OPR;B95BSREGLER01
;B95DEP01OPR;B95DEP02;B95DEP02A;B95DEP02C;B95DEP02CD;B95DIV53;B95DIV56;B95DIVERSE50;B95DIVERSE51;B95EALM05;B95EBOKS01
;B95EBOKS80;B95EDAN80;B95EDAN85;B95EFAST04;B95EJERP01A;B95EKORT01D1;B95EKORT80;B95EKSP51;B95FAST04;B95FHJKORT04;B95HOME57
;B95HOME62;B95INDL53;B95JACK01;B95KAMP112;B95KAMP119;B95KAMP122;B95KAMP130;B95KAMP133;B95KAMP134;B95KAMP135;B95KAMP139
;B95KAMP140;B95KAMP143;B95KAMP78;B95KAMP88;B95KAMP90;B95KAMP91;B95KAU01;B95KORT18;B95KORT28D1;B95KORT28D2;B95KORT31
;B95KORT32;B95KORT33;B95KORT54;B95KORTFOR;B95KRED01;B95KRED02;B95KRED03;B95KRED07;B95KTPRIS07;B95KTPRIS08;B95KTREGL011607
;B95KTREGL01GL;B95KTREGL021607;B95KTREGL02GL;B95KTREGL031607;B95KTREGL03GL;B95KTREGL041607;B95KTREGL04GL;B95KTREGL50;B95KUN01;B95KUN02;B95KUN02-G1
;B95KUN02DU;B95KUN03;B95LÅN11;B95LÅN12;B95LÅN15;B95LÅN16;B95LÅN17;B95LÅN18;B95LØN13;B95LØN14;B95MOBILEWIPE
;B95MØNTE01;B95NETID80;B95PANTFAST01;B95PANTP01A;B95PEN55;B95SENUDG01;B95SKADE01A;B95SLET;B95TLF01;B95TLFB1Q;B95TRAN04
;B95UDLÅN53;B95UDLÅN54;B95UDLÅN57;B95UDLÅN58;B95UDLÅN64;B95UDLÅN65;B95UDLÅN66;B95UDLÅN69;B95UNG57;B95VDKRÅD07;B95VDKRÅD07B
;B95WEB01;B95WEB01VILKAAR;B95WEB01_NY;B95WEB01_OLD;B95WEB06;B95WEB50;B95WEB51;B95WEB91;B98WEB01;B98WEB02;B98WEB03
;B98ÅBN01;B9DEPONERE;BBBKRED50;BBBLÅN50;BDNKTREGL01Z;BECALD04;BECALD06;BECANDEL01A;BECAPF06;BECAPF07;BECBEGUN01
;BECBOL01;BECBS01;BECBS02;BECBS03;BECBS51;BECBS52;BECCONN01;BECCONN01A;BECCONN02;BECCONN03;BECDEP01
;BECDEP02A;BECDEP02C;BECDEP02CD;BECDEPAL01;BECEBOKS01D;BECEBOKS20;BECEDAN01;BECEEKAU50;BECEEKAU51;BECEHÅND50;BECEHÅND53
;BECEJERP01A;BECEJERP01B;BECEJERP01C;BECEJERP02A;BECEJERP02B;BECEJERP02B-M;BECEJERP02C;BECEJERP03A;BECEJERP03B;BECEJERP03C;BECEJERP04A
;BECEJERP04B;BECEJERVIRKA;BECEJERVIRKB;BECEJERVIRKC;BECEKAU50;BECEKAU51;BECEKOPL50;BECEKRED50;BECEKTREGL01;BECEKTREGL02;BECELTING01A
;BECELTING01E;BECELTING01F;BECELTING02A;BECELTING02B;BECELTING03A;BECELTING03B;BECELÅN50;BECEOP01A;BECEPKAU50;BECEPKAU51;BECESEFO52
;BECESEFO53;BECESIS50;BECETILL50;BECEUNSKR50;BECFØL11;BECFØL12;BECFØL13;BECFØL14;BECGAR01;BECGAR02;BECGAR03
;BECGAR04;BECGAR07;BECGAR11;BECGAR12;BECGAR13;BECGAR14;BECGAR15;BECGAR16;BECGAR17;BECGAR18;BECGAR19
;BECGAR20;BECGAR21;BECHÅND50;BECHÅND53;BECINDSKGAR;BECKAP04;BECKAP05;BECKAP06;BECKAU50;BECKAU51;BECKOPL50
;BECKORT04;BECKORT80;BECKRED50;BECKRED50-Z;BECKTBEST01;BECKTO01;BECKTREGL01;BECKTREGL01-Z;BECKTREGL02;BECKTREGL02-Z;BECKTREGL03
;BECKUN01;BECKUN02;BECKUN02-GBA;BECKUN02DU;BECKUN02DU-GBA;BECKVIT02;BECLOF001;BECLOF001B;BECLOF039;BECLOF040;BECLOF041
;BECLOF041B;BECLOF042;BECLOF042B;BECLOF043;BECLOF045B;BECLOF048;BECLOF052;BECLOF053;BECLOF053B;BECLOF054;BECLOF058
;BECLOF064;BECLOF066;BECLOF068;BECLOF069;BECLOF070;BECLOF071;BECLOF072;BECLOF073;BECLOF074;BECLOF087;BECLÅN50
;BECLÅN50-Z;BECLÅN90;BECLÅN91;BECLÅN93;BECLØN08;BECLØN09;BECLØN12;BECLØN13;BECLØN14;BECMEL01;BECMOBIL01
;BECMOBIL01D;BECNEMPU01;BECOPG07;BECOVE01;BECOVE51;BECPANT03;BECPANT04;BECPANT05;BECPANTH01;BECPANTH02;BECPANTH03
;BECPEN01;BECPEN02;BECPEN20;BECPEN40;BECPEN45;BECPEN55;BECPEN55DU;BECPEN60;BECPEN65;BECPENAV;BECPENKV
;BECPENRV;BECPRIO001;BECPRIO002;BECPRIO003;BECPRIO004;BECPRIO005;BECPRIO013;BECPRIO013A;BECPRIO014;BECPRIO015;BECPRIO018A
;BECPRIO021A;BECPRIO022;BECPRIO022A;BECPRIO022C;BECPRIO023;BECPRIO025;BECPRIO028;BECPRIO028B;BECPRIO029;BECPÅT01;BECPÅT02
;BECPÅT03;BECPÅT04;BECRAT04;BECRAT16;BECRAT17;BECRAT18;BECSAM01;BECSEFO02;BECSEFO03;BECSEFO52;BECSEFO53
;BECSKA04;BECSKA05;BECSKADE01A;BECSKADE01A-G1;BECSKADE01B;BECSKADE01B-G1;BECSKADE01C;BECSKADE01C-G1;BECSKADE02A;BECSKADE02B;BECSKADE03A
;BECSKADE03B;BECSKADE03C;BECSKADE04A;BECSKADE04B;BECSKADE05A;BECSKADE05B;BECSKADE06;BECSMS01;BECSOL01;BECSOP10;BECSWIPE01
;BECSWIPE01-Z;BECTER02;BECTER03;BECTER04;BECTILL50;BECTILL50-Z;BECTING03;BECTING05;BECTLF01;BECTRAN03;BECTRAN04
;BECTRÆK50;BECUDD01;BECUMOBIL01D;BECUNKAU50;BECUNOT01;BECUNOT02;BECUNOT12;BECUNPANT03;BECUNSKR50;BECUPANT01A;BECUPANT01F
